,,living room 1,,living room 2,,living room 3,,bedroom,,staircase low,,staircase up,,,,,,,,,,,,
Date,Time,T up L (GF),RH up L (GF),T low L (GF),RH low L (GF),T low R (GF),RH low R (GF),T R (1F),RH R (1F),T clay Low,RH clay Low (60mm),T clay Up,RH clay Up (100mm),T clay-flex Low,RH clay-flex Low,T clay-flex Up,RH clay-flex Up,,,,,,,
15/03/2012,00:00:00,14.09,40.4,11.77,94.5,13.32,44,13.32,46.9,13.7,46.6,13.7,49.3,13.32,47.6,13.32,47.2,,,,,,,
15/03/2012,01:00:00,13.7,40.4,11.77,94.5,13.32,44,12.93,46.9,13.7,46.5,13.32,49.3,13.32,47.3,13.32,47.2,,,,,,,
15/03/2012,02:00:00,13.7,40.3,11.77,94.5,13.32,43.9,12.93,46.9,13.32,46.4,13.32,49.2,13.32,47.2,12.93,47.2,,,,,,,
15/03/2012,03:00:00,13.32,40.3,11.38,94.5,12.93,44,12.93,46.9,13.32,46.2,12.93,49.2,12.93,47.2,12.93,47,,,,,,,
15/03/2012,04:00:00,13.32,40.2,11.77,94.5,12.93,44,12.93,46.8,12.93,46.3,12.93,49,12.93,46.9,12.55,47,,,,,,,
15/03/2012,05:00:00,12.93,40.2,11.38,94.5,12.55,44.1,12.55,46.9,12.93,46.1,12.55,49,12.55,46.9,12.55,46.9,,,,,,,
15/03/2012,06:00:00,12.93,40.2,11.38,94.5,12.55,43.9,12.16,46.9,12.93,46,12.55,49,12.55,46.8,12.55,46.8,,,,,,,
15/03/2012,07:00:00,12.93,40,11.38,94.5,12.55,43.9,12.55,46.8,12.55,46,12.55,48.9,12.55,46.7,12.16,46.9,,,,,,,
15/03/2012,08:00:00,12.93,40,11.38,94.5,12.55,43.8,12.16,46.9,12.55,46,12.55,48.9,12.55,46.7,12.55,46.7,,,,,,,
15/03/2012,09:00:00,12.93,40.2,11.38,94.5,12.55,43.9,12.55,46.9,12.93,46,12.55,49,12.55,46.9,12.55,46.8,,,,,,,
15/03/2012,10:00:00,12.93,40.3,10.99,94.5,12.93,43.8,12.93,46.9,12.93,46.1,12.93,48.9,12.55,47,12.55,46.9,,,,,,,
15/03/2012,11:00:00,13.32,40.3,10.99,94.5,12.93,43.9,12.93,46.9,12.93,46.3,12.93,49,12.93,47.2,12.93,46.9,,,,,,,
15/03/2012,12:00:00,13.32,40.4,10.99,94.5,13.32,43.9,12.93,47,12.93,46.5,12.93,49.3,12.93,47.3,12.93,47,,,,,,,
15/03/2012,13:00:00,13.7,40.4,10.99,94.5,13.32,44,13.32,47,13.32,46.8,13.32,49.5,13.32,47.4,13.32,47.2,,,,,,,
15/03/2012,14:00:00,14.09,40.6,10.6,94.5,13.7,44,13.32,47.3,13.7,47,13.7,49.6,13.32,47.8,13.32,47.4,,,,,,,
15/03/2012,15:00:00,14.09,40.8,10.6,94.5,13.7,44.2,13.7,47.3,13.7,47.3,13.7,49.9,13.32,48.1,13.7,47.7,,,,,,,
15/03/2012,16:00:00,14.09,41,10.6,98.1,13.7,44.4,13.32,47.7,13.7,47.6,13.7,50.2,13.7,48.1,13.7,48,,,,,,,
15/03/2012,17:00:00,14.09,41,10.6,94.5,13.7,44.5,13.7,47.6,13.7,47.7,13.7,50.3,13.7,48.1,13.7,48.1,,,,,,,
15/03/2012,18:00:00,14.09,41.1,10.6,98.1,14.09,44.5,13.7,47.7,14.09,47.7,14.09,50.3,13.7,48.4,13.7,48.2,,,,,,,
15/03/2012,19:00:00,14.09,41.2,10.6,98.1,14.09,44.7,13.7,48,14.09,47.8,14.09,50.6,13.7,48.4,13.7,48.5,,,,,,,
15/03/2012,20:00:00,14.47,41.2,10.6,98.1,14.09,44.8,14.09,48,14.09,48.1,14.47,50.6,14.09,48.5,14.09,48.5,,,,,,,
15/03/2012,21:00:00,16.38,40.8,10.6,98.1,16,44.4,16.38,47,15.62,48.4,16.38,49.7,15.62,48.8,16.38,47.3,,,,,,,
15/03/2012,22:00:00,17.52,40.8,10.6,94.5,17.14,44.4,17.52,46.8,16.38,48.7,17.52,49.3,16.38,48.8,17.52,47,,,,,,,
15/03/2012,23:00:00,17.9,40.9,10.6,94.5,17.52,44.5,17.9,46.8,17.14,48.7,17.9,49.2,17.52,48.6,17.9,47.2,,,,,,,
16/03/2012,00:00:00,17.52,41.1,10.6,94.5,17.14,44.7,17.14,47.3,17.14,48.4,17.14,49.7,17.14,48.4,17.14,48,,,,,,,
16/03/2012,01:00:00,17.14,41.1,10.6,98.1,16.38,44.9,16.38,47.6,16.76,48.1,16.76,50,16.38,48.3,16.38,48.3,,,,,,,
16/03/2012,02:00:00,16.38,41.2,10.6,94.5,16,45,16,47.7,16.38,47.8,16,50.3,16,48.2,16,48.4,,,,,,,
16/03/2012,03:00:00,16.38,41.1,10.6,98.1,15.62,45,15.62,47.8,16,47.8,16,50.1,16,48,15.62,48.5,,,,,,,
16/03/2012,04:00:00,16,41.2,10.99,98.2,15.62,45,15.62,47.8,16,47.6,15.62,50.2,15.62,48.1,15.62,48.4,,,,,,,
16/03/2012,05:00:00,15.62,41.2,10.6,98.1,15.62,44.9,15.23,48,15.62,47.6,15.62,50.2,15.62,48,15.23,48.5,,,,,,,
16/03/2012,06:00:00,15.62,41.2,10.6,98.1,15.23,45,15.23,48,15.62,47.4,15.23,50.2,15.23,48,15.23,48.4,,,,,,,
16/03/2012,07:00:00,15.62,41.2,10.6,98.1,15.23,44.9,14.85,48,15.62,47.4,15.23,50.2,15.23,48,14.85,48.5,,,,,,,
16/03/2012,08:00:00,15.62,41.1,10.6,98.1,15.23,44.9,14.85,48,15.23,47.4,15.23,50.1,15.23,48,14.85,48.5,,,,,,,
16/03/2012,09:00:00,15.23,41.1,10.6,98.1,14.85,45.2,14.85,48,15.23,47.4,14.85,50.3,14.85,48,14.85,48.4,,,,,,,
16/03/2012,10:00:00,15.23,41.2,10.6,98.1,14.85,45.2,14.85,48,15.23,47.4,15.23,50.4,14.85,48,14.85,48.5,,,,,,,
16/03/2012,11:00:00,14.09,41,10.6,98.1,12.93,46.5,13.32,48.4,14.47,47.4,13.32,51.5,14.09,47.5,13.32,49.3,,,,,,,
16/03/2012,12:00:00,14.09,41,10.6,98.1,13.32,45.5,13.32,48.2,14.09,46.9,13.7,50.7,13.7,47.4,13.32,48.9,,,,,,,
16/03/2012,13:00:00,12.93,41.1,10.6,98.1,12.16,46.4,12.55,48.4,13.32,47,12.93,51.3,12.93,47.3,12.55,49.3,,,,,,,
16/03/2012,14:00:00,13.32,41,10.6,98.1,12.55,45.5,12.93,47.7,13.32,46.9,12.93,50.6,12.93,47.4,12.93,48.4,,,,,,,
16/03/2012,15:00:00,12.93,41,10.6,98.1,12.16,45.9,12.55,48.1,12.93,46.9,12.55,51,12.55,47.3,12.16,48.9,,,,,,,
16/03/2012,16:00:00,12.93,41.1,10.6,98.1,12.16,45.9,12.55,48,12.93,47,12.55,50.8,12.55,47.4,12.55,48.6,,,,,,,
16/03/2012,17:00:00,12.93,41.3,10.6,98.1,12.55,45.7,12.55,48.1,12.93,47.2,12.55,50.8,12.55,47.6,12.55,48.8,,,,,,,
16/03/2012,18:00:00,12.55,41.5,10.6,98.1,11.77,46,12.16,48.2,12.55,47.3,12.16,51.1,12.16,47.7,11.77,49.3,,,,,,,
16/03/2012,19:00:00,12.93,41.8,10.6,98.1,12.93,45.3,12.93,48.2,12.93,47.6,12.93,50.7,12.93,48.1,12.93,48.6,,,,,,,
16/03/2012,20:00:00,13.32,42.1,10.6,98.1,13.32,45.3,13.32,48.2,13.32,47.8,13.32,50.9,12.93,48.5,12.93,49,,,,,,,
16/03/2012,21:00:00,13.7,42.1,10.6,98.1,13.7,45.3,13.32,48.5,13.32,48.1,13.32,51,13.32,48.6,13.32,49,,,,,,,
16/03/2012,22:00:00,13.7,42.1,10.6,98.1,13.7,45.3,13.32,48.5,13.7,48.1,13.7,51,13.32,48.8,13.32,49.2,,,,,,,
16/03/2012,23:00:00,13.7,42.2,10.6,98.1,13.7,45.4,13.32,48.6,13.7,48.2,13.7,51.2,13.32,48.9,13.32,49.5,,,,,,,
17/03/2012,00:00:00,14.09,42,10.6,98.1,13.7,45.6,13.32,48.8,13.7,48.4,13.7,51.3,13.32,48.9,13.32,49.5,,,,,,,
17/03/2012,01:00:00,14.09,42.2,10.6,98.1,13.7,45.6,13.7,48.6,13.7,48.5,13.7,51.5,13.32,49,13.32,49.6,,,,,,,
17/03/2012,02:00:00,14.09,42.2,10.6,98.1,13.7,45.7,13.7,48.8,13.7,48.6,13.7,51.5,13.32,49,13.32,49.7,,,,,,,
17/03/2012,03:00:00,14.09,42.2,10.6,98.1,13.7,45.7,13.7,48.8,13.7,48.6,13.7,51.6,13.7,48.9,13.32,49.9,,,,,,,
17/03/2012,04:00:00,14.09,42.3,10.6,98.1,13.7,45.7,13.32,49,13.7,48.8,13.7,51.8,13.32,49.2,13.32,49.9,,,,,,,
17/03/2012,05:00:00,14.09,42.3,10.6,98.1,13.7,45.8,13.7,48.9,13.7,48.8,13.7,51.8,13.7,49,13.32,50,,,,,,,
