Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2012-03-15,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-16,0.0,0.0507953,0.0,0.0,0.0,0.0
2012-03-17,0.0,0.122826,0.0,0.0,0.0,0.0
2012-03-18,0.0,0.196693,0.0,0.0,0.0,0.0
2012-03-19,0.0,0.269245,0.0,0.0,0.0,0.0
2012-03-20,0.0,0.338335,0.0,0.0,0.0,0.0
2012-03-21,0.0,0.409134,0.0,0.0,0.0,0.0
2012-03-22,0.00103967,0.486459,0.0,0.0,0.0,0.0
2012-03-23,0.0100878,0.566537,0.0,0.00159725,0.0,0.0
2012-03-24,0.0205389,0.649668,0.0,0.00933564,0.0,0.0
2012-03-25,0.0313036,0.737386,0.0,0.0179411,0.0,0.0
2012-03-26,0.042329,0.828465,0.0,0.0267075,0.0,0.0
2012-03-27,0.0531575,0.916838,0.0,0.0347561,0.0,0.0
2012-03-28,0.0652496,1.01919,0.00078361,0.0435852,0.0,0.0
2012-03-29,0.0795157,1.21074,0.00787783,0.0521495,0.0,0.0011739
2012-03-30,0.0954305,1.40722,0.0166713,0.0598681,0.0,0.000707234
2012-03-31,0.113521,1.60525,0.0288348,0.0632078,0.0,0.0
2012-04-01,0.133198,1.79524,0.042902,0.0703499,0.0,0.0
2012-04-02,0.15802,1.97458,0.0585974,0.0788713,0.0,0.0
2012-04-03,0.183272,2.14609,0.0750293,0.0882292,0.0,0.0
2012-04-04,0.208681,2.31815,0.0914062,0.0966123,0.0,0.0
2012-04-05,0.232714,2.48492,0.10654,0.103783,0.0,0.0
2012-04-06,0.255796,2.64545,0.122299,0.11102,0.00499409,0.0
2012-04-07,0.279223,2.79948,0.134995,0.118061,0.00571451,0.0
2012-04-08,0.31111,2.95646,0.150882,0.127097,0.0128704,0.0
2012-04-09,0.334282,3.11544,0.166826,0.136044,0.0192477,0.0
2012-04-10,0.356766,3.27476,0.181252,0.144918,0.0249289,0.0
2012-04-11,0.378891,3.43096,0.193123,0.151916,0.0294487,0.0
2012-04-12,0.399146,3.58207,0.204725,0.158824,0.0304346,0.0
2012-04-13,0.415778,3.73694,0.214707,0.160625,0.0292346,0.0
2012-04-14,0.433105,3.89393,0.223971,0.160092,0.0276346,0.0
2012-04-15,0.450635,4.05145,0.233763,0.159801,0.0330794,0.0
2012-04-16,0.465692,4.20379,0.242659,0.158935,0.0388935,0.0
2012-04-17,0.478281,4.35149,0.250223,0.157335,0.0401542,0.0
2012-04-18,0.490216,4.4982,0.257193,0.155735,0.0447568,0.0
2012-04-19,0.500057,4.61301,0.263199,0.154135,0.0464458,0.0
2012-04-20,0.509498,4.70538,0.269564,0.152535,0.0519069,0.0
2012-04-21,0.518662,4.78275,0.27599,0.150935,0.0572871,0.0
2012-04-22,0.528455,4.84374,0.281888,0.149335,0.0584968,0.0
2012-04-23,0.538324,4.89787,0.288595,0.147735,0.0641788,0.0
2012-04-24,0.548317,4.92593,0.294647,0.146135,0.067364,0.0
2012-04-25,0.558597,4.93408,0.301454,0.144535,0.0730758,0.0
2012-04-26,0.568221,4.94588,0.307463,0.142935,0.0765397,0.0
