living_room_1_T_up_L_(GF),living_room_1_RH_up_L_(GF),living_room_2_T_low_L_(GF),living_room_2_RH_low_L_(GF),living_room_3_T_low_R_(GF),living_room_3_RH_low_R_(GF),bedroom_T_R_(1F),bedroom_RH_R_(1F),staircase_low_T_clay_Low,staircase_low_RH_clay_Low_(60mm),staircase_up_T_clay_Up,staircase_up_RH_clay_Up_(100mm),T_clay-flex_Low,RH_clay-flex_Low,T_clay-flex_Up,RH_clay-flex_Up,timestamp
14.09,40.4,11.77,94.5,13.32,44.0,13.32,46.9,13.7,46.6,13.7,49.3,13.32,47.6,13.32,47.2,2012-03-15T00:00:00Z
13.7,40.4,11.77,94.5,13.32,44.0,12.93,46.9,13.7,46.5,13.32,49.3,13.32,47.3,13.32,47.2,2012-03-15T01:00:00Z
13.7,40.3,11.77,94.5,13.32,43.9,12.93,46.9,13.32,46.4,13.32,49.2,13.32,47.2,12.93,47.2,2012-03-15T02:00:00Z
13.32,40.3,11.38,94.5,12.93,44.0,12.93,46.9,13.32,46.2,12.93,49.2,12.93,47.2,12.93,47.0,2012-03-15T03:00:00Z
13.32,40.2,11.77,94.5,12.93,44.0,12.93,46.8,12.93,46.3,12.93,49.0,12.93,46.9,12.55,47.0,2012-03-15T04:00:00Z
12.93,40.2,11.38,94.5,12.55,44.1,12.55,46.9,12.93,46.1,12.55,49.0,12.55,46.9,12.55,46.9,2012-03-15T05:00:00Z
12.93,40.2,11.38,94.5,12.55,43.9,12.16,46.9,12.93,46.0,12.55,49.0,12.55,46.8,12.55,46.8,2012-03-15T06:00:00Z
12.93,40.0,11.38,94.5,12.55,43.9,12.55,46.8,12.55,46.0,12.55,48.9,12.55,46.7,12.16,46.9,2012-03-15T07:00:00Z
12.93,40.0,11.38,94.5,12.55,43.8,12.16,46.9,12.55,46.0,12.55,48.9,12.55,46.7,12.55,46.7,2012-03-15T08:00:00Z
12.93,40.2,11.38,94.5,12.55,43.9,12.55,46.9,12.93,46.0,12.55,49.0,12.55,46.9,12.55,46.8,2012-03-15T09:00:00Z
12.93,40.3,10.99,94.5,12.93,43.8,12.93,46.9,12.93,46.1,12.93,48.9,12.55,47.0,12.55,46.9,2012-03-15T10:00:00Z
13.32,40.3,10.99,94.5,12.93,43.9,12.93,46.9,12.93,46.3,12.93,49.0,12.93,47.2,12.93,46.9,2012-03-15T11:00:00Z
13.32,40.4,10.99,94.5,13.32,43.9,12.93,47.0,12.93,46.5,12.93,49.3,12.93,47.3,12.93,47.0,2012-03-15T12:00:00Z
13.7,40.4,10.99,94.5,13.32,44.0,13.32,47.0,13.32,46.8,13.32,49.5,13.32,47.4,13.32,47.2,2012-03-15T13:00:00Z
14.09,40.6,10.6,94.5,13.7,44.0,13.32,47.3,13.7,47.0,13.7,49.6,13.32,47.8,13.32,47.4,2012-03-15T14:00:00Z
14.09,40.8,10.6,94.5,13.7,44.2,13.7,47.3,13.7,47.3,13.7,49.9,13.32,48.1,13.7,47.7,2012-03-15T15:00:00Z
14.09,41.0,10.6,98.1,13.7,44.4,13.32,47.7,13.7,47.6,13.7,50.2,13.7,48.1,13.7,48.0,2012-03-15T16:00:00Z
14.09,41.0,10.6,94.5,13.7,44.5,13.7,47.6,13.7,47.7,13.7,50.3,13.7,48.1,13.7,48.1,2012-03-15T17:00:00Z
14.09,41.1,10.6,98.1,14.09,44.5,13.7,47.7,14.09,47.7,14.09,50.3,13.7,48.4,13.7,48.2,2012-03-15T18:00:00Z
14.09,41.2,10.6,98.1,14.09,44.7,13.7,48.0,14.09,47.8,14.09,50.6,13.7,48.4,13.7,48.5,2012-03-15T19:00:00Z
14.47,41.2,10.6,98.1,14.09,44.8,14.09,48.0,14.09,48.1,14.47,50.6,14.09,48.5,14.09,48.5,2012-03-15T20:00:00Z
16.38,40.8,10.6,98.1,16.0,44.4,16.38,47.0,15.62,48.4,16.38,49.7,15.62,48.8,16.38,47.3,2012-03-15T21:00:00Z
17.52,40.8,10.6,94.5,17.14,44.4,17.52,46.8,16.38,48.7,17.52,49.3,16.38,48.8,17.52,47.0,2012-03-15T22:00:00Z
17.9,40.9,10.6,94.5,17.52,44.5,17.9,46.8,17.14,48.7,17.9,49.2,17.52,48.6,17.9,47.2,2012-03-15T23:00:00Z
17.52,41.1,10.6,94.5,17.14,44.7,17.14,47.3,17.14,48.4,17.14,49.7,17.14,48.4,17.14,48.0,2012-03-16T00:00:00Z
17.14,41.1,10.6,98.1,16.38,44.9,16.38,47.6,16.76,48.1,16.76,50.0,16.38,48.3,16.38,48.3,2012-03-16T01:00:00Z
16.38,41.2,10.6,94.5,16.0,45.0,16.0,47.7,16.38,47.8,16.0,50.3,16.0,48.2,16.0,48.4,2012-03-16T02:00:00Z
16.38,41.1,10.6,98.1,15.62,45.0,15.62,47.8,16.0,47.8,16.0,50.1,16.0,48.0,15.62,48.5,2012-03-16T03:00:00Z
16.0,41.2,10.99,98.2,15.62,45.0,15.62,47.8,16.0,47.6,15.62,50.2,15.62,48.1,15.62,48.4,2012-03-16T04:00:00Z
15.62,41.2,10.6,98.1,15.62,44.9,15.23,48.0,15.62,47.6,15.62,50.2,15.62,48.0,15.23,48.5,2012-03-16T05:00:00Z
15.62,41.2,10.6,98.1,15.23,45.0,15.23,48.0,15.62,47.4,15.23,50.2,15.23,48.0,15.23,48.4,2012-03-16T06:00:00Z
15.62,41.2,10.6,98.1,15.23,44.9,14.85,48.0,15.62,47.4,15.23,50.2,15.23,48.0,14.85,48.5,2012-03-16T07:00:00Z
15.62,41.1,10.6,98.1,15.23,44.9,14.85,48.0,15.23,47.4,15.23,50.1,15.23,48.0,14.85,48.5,2012-03-16T08:00:00Z
15.23,41.1,10.6,98.1,14.85,45.2,14.85,48.0,15.23,47.4,14.85,50.3,14.85,48.0,14.85,48.4,2012-03-16T09:00:00Z
15.23,41.2,10.6,98.1,14.85,45.2,14.85,48.0,15.23,47.4,15.23,50.4,14.85,48.0,14.85,48.5,2012-03-16T10:00:00Z
