Temperature_SH,RH_SH,Temperature_SL,RH_SL,Temperature_NH,RH_NH,Temperature_NL,RH_NL,timestamp
14.47,91.7,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T00:00:00Z
14.47,91.7,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T01:00:00Z
14.09,91.6,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T02:00:00Z
14.09,91.6,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T03:00:00Z
14.09,91.6,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T04:00:00Z
14.09,91.6,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T05:00:00Z
14.09,91.6,14.47,83.8,14.09,89.2,13.7,94.6,2011-11-01T06:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.7,94.6,2011-11-01T07:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.7,94.6,2011-11-01T08:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.7,94.6,2011-11-01T09:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T10:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T11:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T12:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T13:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T14:00:00Z
14.09,91.6,14.09,83.8,14.09,89.2,13.32,94.6,2011-11-01T15:00:00Z
14.09,91.6,14.09,83.8,13.7,89.2,13.32,94.6,2011-11-01T16:00:00Z
14.09,91.6,14.09,83.8,13.7,89.2,13.32,94.6,2011-11-01T17:00:00Z
14.09,91.6,14.09,83.8,13.7,89.2,13.32,94.6,2011-11-01T18:00:00Z
14.09,91.6,14.09,83.8,13.7,89.2,13.32,94.6,2011-11-01T19:00:00Z
14.09,91.6,14.09,83.8,13.7,89.2,13.32,94.6,2011-11-01T20:00:00Z
13.7,91.6,14.09,85.4,13.7,89.2,13.32,94.6,2011-11-01T21:00:00Z
13.7,94.6,14.09,85.4,13.7,89.2,13.32,94.6,2011-11-01T22:00:00Z
13.7,94.6,14.09,85.4,13.7,89.2,12.93,94.6,2011-11-01T23:00:00Z
13.7,94.6,14.09,85.4,13.32,89.2,12.93,94.6,2011-11-02T00:00:00Z
13.7,94.6,14.09,85.4,13.32,89.2,12.93,94.6,2011-11-02T01:00:00Z
13.32,94.6,14.09,85.4,13.32,89.2,12.93,94.6,2011-11-02T02:00:00Z
13.32,94.6,14.09,85.4,13.32,89.2,12.55,94.5,2011-11-02T03:00:00Z
13.32,94.6,13.7,85.4,13.32,89.2,12.55,94.5,2011-11-02T04:00:00Z
13.32,94.6,13.7,85.4,12.93,89.2,12.55,94.5,2011-11-02T05:00:00Z
12.93,94.6,13.7,85.4,12.93,89.2,12.16,94.5,2011-11-02T06:00:00Z
12.93,94.6,13.32,85.4,12.93,89.2,12.16,94.5,2011-11-02T07:00:00Z
12.93,94.6,13.32,85.4,12.93,89.2,11.77,94.5,2011-11-02T08:00:00Z
12.55,94.5,12.93,85.4,12.55,89.2,11.77,94.5,2011-11-02T09:00:00Z
12.55,94.5,12.93,83.9,12.55,89.2,11.77,94.5,2011-11-02T10:00:00Z
12.16,94.5,12.93,83.9,12.16,89.2,11.38,94.5,2011-11-02T11:00:00Z
12.16,91.6,12.55,82.5,12.16,89.2,11.38,94.5,2011-11-02T12:00:00Z
12.16,91.6,12.55,82.5,12.16,89.2,11.38,94.5,2011-11-02T13:00:00Z
12.16,91.6,12.55,82.5,12.16,89.2,11.38,94.5,2011-11-02T14:00:00Z
12.16,91.6,12.55,82.5,11.77,89.2,11.38,94.5,2011-11-02T15:00:00Z
12.16,91.6,12.55,82.5,11.77,89.2,11.38,94.5,2011-11-02T16:00:00Z
12.16,91.6,12.55,82.5,11.77,89.2,11.38,94.5,2011-11-02T17:00:00Z
12.16,91.6,12.55,82.5,11.77,89.2,11.38,94.5,2011-11-02T18:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-02T19:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-02T20:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-02T21:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-02T22:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-02T23:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-03T00:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-03T01:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-03T02:00:00Z
12.16,91.6,12.93,82.5,11.77,89.2,11.38,94.5,2011-11-03T03:00:00Z
12.16,91.6,13.32,82.4,11.77,89.2,11.38,94.5,2011-11-03T04:00:00Z
12.16,91.6,13.32,82.4,12.16,89.2,11.77,94.5,2011-11-03T05:00:00Z
12.55,91.6,13.32,82.4,12.16,89.2,11.77,94.5,2011-11-03T06:00:00Z
12.55,91.6,13.32,82.4,12.16,89.2,11.77,94.5,2011-11-03T07:00:00Z
12.55,91.6,13.32,82.4,12.16,89.2,11.77,94.5,2011-11-03T08:00:00Z
