RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,time
47.0,47.4,2012-03-15T00:00:00Z
46.5,46.9,2012-03-15T01:00:00Z
46.1,46.5,2012-03-15T02:00:00Z
45.6,46.1,2012-03-15T03:00:00Z
45.0,45.6,2012-03-15T04:00:00Z
44.6,45.2,2012-03-15T05:00:00Z
44.3,44.8,2012-03-15T06:00:00Z
44.0,44.7,2012-03-15T07:00:00Z
43.9,44.5,2012-03-15T08:00:00Z
44.3,44.9,2012-03-15T09:00:00Z
47.3,47.2,2012-03-15T10:00:00Z
48.2,47.8,2012-03-15T11:00:00Z
49.2,48.8,2012-03-15T12:00:00Z
50.3,49.9,2012-03-15T13:00:00Z
51.8,51.2,2012-03-15T14:00:00Z
52.4,51.9,2012-03-15T15:00:00Z
53.0,52.4,2012-03-15T16:00:00Z
53.3,52.9,2012-03-15T17:00:00Z
53.7,53.2,2012-03-15T18:00:00Z
54.2,53.5,2012-03-15T19:00:00Z
54.2,53.7,2012-03-15T20:00:00Z
53.0,52.6,2012-03-15T21:00:00Z
51.7,51.1,2012-03-15T22:00:00Z
50.8,50.1,2012-03-15T23:00:00Z
51.1,50.2,2012-03-16T00:00:00Z
51.0,50.3,2012-03-16T01:00:00Z
51.0,50.3,2012-03-16T02:00:00Z
50.8,50.1,2012-03-16T03:00:00Z
50.5,49.8,2012-03-16T04:00:00Z
50.2,49.8,2012-03-16T05:00:00Z
50.1,49.5,2012-03-16T06:00:00Z
49.9,49.4,2012-03-16T07:00:00Z
49.8,49.4,2012-03-16T08:00:00Z
50.3,49.8,2012-03-16T09:00:00Z
50.5,49.9,2012-03-16T10:00:00Z
51.3,50.0,2012-03-16T11:00:00Z
51.0,50.3,2012-03-16T12:00:00Z
51.6,50.7,2012-03-16T13:00:00Z
50.9,50.3,2012-03-16T14:00:00Z
50.8,50.6,2012-03-16T15:00:00Z
50.8,50.8,2012-03-16T16:00:00Z
51.1,51.1,2012-03-16T17:00:00Z
51.9,51.9,2012-03-16T18:00:00Z
51.9,51.7,2012-03-16T19:00:00Z
52.1,51.6,2012-03-16T20:00:00Z
52.2,51.9,2012-03-16T21:00:00Z
52.5,52.2,2012-03-16T22:00:00Z
52.8,52.4,2012-03-16T23:00:00Z
52.9,52.4,2012-03-17T00:00:00Z
53.0,52.5,2012-03-17T01:00:00Z
53.0,52.5,2012-03-17T02:00:00Z
53.0,52.5,2012-03-17T03:00:00Z
53.2,52.7,2012-03-17T04:00:00Z
53.3,52.9,2012-03-17T05:00:00Z
53.7,53.0,2012-03-17T06:00:00Z
54.0,53.5,2012-03-17T07:00:00Z
54.3,53.8,2012-03-17T08:00:00Z
54.9,54.3,2012-03-17T09:00:00Z
55.3,54.7,2012-03-17T10:00:00Z
55.9,55.4,2012-03-17T11:00:00Z
57.1,56.3,2012-03-17T12:00:00Z
57.9,57.1,2012-03-17T13:00:00Z
58.1,57.5,2012-03-17T14:00:00Z
58.3,57.7,2012-03-17T15:00:00Z
58.3,57.5,2012-03-17T16:00:00Z
58.3,57.5,2012-03-17T17:00:00Z
57.9,57.4,2012-03-17T18:00:00Z
57.6,56.8,2012-03-17T19:00:00Z
57.2,56.6,2012-03-17T20:00:00Z
57.0,56.4,2012-03-17T21:00:00Z
56.6,56.0,2012-03-17T22:00:00Z
56.2,55.6,2012-03-17T23:00:00Z
55.8,55.2,2012-03-18T00:00:00Z
55.0,54.6,2012-03-18T01:00:00Z
54.5,54.0,2012-03-18T02:00:00Z
53.8,53.1,2012-03-18T03:00:00Z
53.1,52.6,2012-03-18T04:00:00Z
52.3,51.9,2012-03-18T05:00:00Z
51.9,51.4,2012-03-18T06:00:00Z
51.3,51.0,2012-03-18T07:00:00Z
51.0,50.8,2012-03-18T08:00:00Z
51.1,50.7,2012-03-18T09:00:00Z
51.6,51.3,2012-03-18T10:00:00Z
52.7,52.1,2012-03-18T11:00:00Z
53.0,52.4,2012-03-18T12:00:00Z
53.0,52.5,2012-03-18T13:00:00Z
53.1,52.7,2012-03-18T14:00:00Z
53.0,52.5,2012-03-18T15:00:00Z
53.3,52.7,2012-03-18T16:00:00Z
53.5,52.8,2012-03-18T17:00:00Z
53.6,53.0,2012-03-18T18:00:00Z
53.6,53.1,2012-03-18T19:00:00Z
53.3,52.8,2012-03-18T20:00:00Z
53.1,52.5,2012-03-18T21:00:00Z
52.8,52.2,2012-03-18T22:00:00Z
52.2,51.9,2012-03-18T23:00:00Z
51.7,51.3,2012-03-19T00:00:00Z
51.1,50.8,2012-03-19T01:00:00Z
50.6,50.3,2012-03-19T02:00:00Z
50.1,49.7,2012-03-19T03:00:00Z
49.6,49.3,2012-03-19T04:00:00Z
49.0,48.8,2012-03-19T05:00:00Z
48.6,48.4,2012-03-19T06:00:00Z
48.1,47.9,2012-03-19T07:00:00Z
47.7,47.6,2012-03-19T08:00:00Z
50.3,49.6,2012-03-19T09:00:00Z
50.1,49.5,2012-03-19T10:00:00Z
49.4,48.6,2012-03-19T11:00:00Z
48.5,48.0,2012-03-19T12:00:00Z
48.0,47.0,2012-03-19T13:00:00Z
46.9,46.6,2012-03-19T14:00:00Z
46.6,46.4,2012-03-19T15:00:00Z
46.9,46.6,2012-03-19T16:00:00Z
45.6,45.1,2012-03-19T17:00:00Z
45.6,45.2,2012-03-19T18:00:00Z
45.3,45.7,2012-03-19T19:00:00Z
46.5,46.6,2012-03-19T20:00:00Z
47.6,47.7,2012-03-19T21:00:00Z
47.7,47.8,2012-03-19T22:00:00Z
47.6,47.8,2012-03-19T23:00:00Z
47.4,47.6,2012-03-20T00:00:00Z
47.2,47.2,2012-03-20T01:00:00Z
46.9,46.9,2012-03-20T02:00:00Z
46.5,46.5,2012-03-20T03:00:00Z
46.1,46.2,2012-03-20T04:00:00Z
45.8,45.8,2012-03-20T05:00:00Z
45.4,45.5,2012-03-20T06:00:00Z
45.3,45.4,2012-03-20T07:00:00Z
45.3,45.5,2012-03-20T08:00:00Z
45.5,45.7,2012-03-20T09:00:00Z
46.7,46.6,2012-03-20T10:00:00Z
47.6,47.3,2012-03-20T11:00:00Z
47.8,47.7,2012-03-20T12:00:00Z
47.3,47.3,2012-03-20T13:00:00Z
47.6,47.6,2012-03-20T14:00:00Z
47.7,47.7,2012-03-20T15:00:00Z
47.8,47.7,2012-03-20T16:00:00Z
47.8,47.8,2012-03-20T17:00:00Z
47.8,47.7,2012-03-20T18:00:00Z
48.0,47.7,2012-03-20T19:00:00Z
48.7,48.5,2012-03-20T20:00:00Z
49.7,49.3,2012-03-20T21:00:00Z
50.5,50.2,2012-03-20T22:00:00Z
50.8,50.4,2012-03-20T23:00:00Z
50.7,50.2,2012-03-21T00:00:00Z
50.3,50.0,2012-03-21T01:00:00Z
49.9,49.7,2012-03-21T02:00:00Z
49.6,49.4,2012-03-21T03:00:00Z
49.1,49.1,2012-03-21T04:00:00Z
49.1,49.0,2012-03-21T05:00:00Z
49.0,48.7,2012-03-21T06:00:00Z
49.0,48.7,2012-03-21T07:00:00Z
49.6,49.4,2012-03-21T08:00:00Z
50.1,49.6,2012-03-21T09:00:00Z
49.0,48.8,2012-03-21T10:00:00Z
48.1,48.3,2012-03-21T11:00:00Z
47.4,47.7,2012-03-21T12:00:00Z
47.0,47.3,2012-03-21T13:00:00Z
46.9,47.2,2012-03-21T14:00:00Z
46.3,46.6,2012-03-21T15:00:00Z
46.1,46.3,2012-03-21T16:00:00Z
45.9,45.9,2012-03-21T17:00:00Z
45.9,46.1,2012-03-21T18:00:00Z
46.2,46.2,2012-03-21T19:00:00Z
46.5,46.5,2012-03-21T20:00:00Z
47.0,47.0,2012-03-21T21:00:00Z
47.4,47.3,2012-03-21T22:00:00Z
47.6,47.4,2012-03-21T23:00:00Z
47.8,47.6,2012-03-22T00:00:00Z
47.8,47.8,2012-03-22T01:00:00Z
47.8,47.8,2012-03-22T02:00:00Z
47.8,47.7,2012-03-22T03:00:00Z
47.6,47.6,2012-03-22T04:00:00Z
47.3,47.4,2012-03-22T05:00:00Z
47.3,47.2,2012-03-22T06:00:00Z
46.9,47.0,2012-03-22T07:00:00Z
47.2,47.2,2012-03-22T08:00:00Z
47.0,47.0,2012-03-22T09:00:00Z
46.7,46.7,2012-03-22T10:00:00Z
46.8,46.9,2012-03-22T11:00:00Z
46.9,47.0,2012-03-22T12:00:00Z
45.9,46.2,2012-03-22T13:00:00Z
45.1,45.4,2012-03-22T14:00:00Z
44.9,45.3,2012-03-22T15:00:00Z
45.7,45.5,2012-03-22T16:00:00Z
44.9,44.9,2012-03-22T17:00:00Z
45.4,45.3,2012-03-22T18:00:00Z
46.3,45.9,2012-03-22T19:00:00Z
46.5,46.3,2012-03-22T20:00:00Z
47.3,47.0,2012-03-22T21:00:00Z
47.7,47.6,2012-03-22T22:00:00Z
47.9,48.3,2012-03-22T23:00:00Z
48.7,48.8,2012-03-23T00:00:00Z
49.4,49.1,2012-03-23T01:00:00Z
49.6,49.0,2012-03-23T02:00:00Z
49.4,48.8,2012-03-23T03:00:00Z
48.9,48.5,2012-03-23T04:00:00Z
48.5,48.0,2012-03-23T05:00:00Z
48.2,47.9,2012-03-23T06:00:00Z
47.9,47.7,2012-03-23T07:00:00Z
48.0,47.7,2012-03-23T08:00:00Z
48.0,47.7,2012-03-23T09:00:00Z
48.0,48.0,2012-03-23T10:00:00Z
49.0,49.0,2012-03-23T11:00:00Z
49.1,48.9,2012-03-23T12:00:00Z
49.8,49.2,2012-03-23T13:00:00Z
51.3,50.5,2012-03-23T14:00:00Z
51.6,50.9,2012-03-23T15:00:00Z
52.3,51.4,2012-03-23T16:00:00Z
50.8,50.3,2012-03-23T17:00:00Z
50.9,50.6,2012-03-23T18:00:00Z
51.2,50.7,2012-03-23T19:00:00Z
51.4,51.2,2012-03-23T20:00:00Z
51.5,51.3,2012-03-23T21:00:00Z
51.7,51.7,2012-03-23T22:00:00Z
51.7,51.7,2012-03-23T23:00:00Z
51.5,51.5,2012-03-24T00:00:00Z
51.4,51.3,2012-03-24T01:00:00Z
51.3,51.3,2012-03-24T02:00:00Z
51.2,51.1,2012-03-24T03:00:00Z
50.7,50.8,2012-03-24T04:00:00Z
