time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-15T00:00:00Z,47.0,47.4,47.0,47.0,47.0,0,0,0,0,Safe,47.4,47.4,47.4,0,0,0,0,Safe
2012-03-15T01:00:00Z,46.5,46.9,46.75,46.75,46.75,0,0,0,0,Safe,47.15,47.15,47.15,0,0,0,0,Safe
2012-03-15T02:00:00Z,46.1,46.5,46.53333333333333,46.53333333333333,46.53333333333333,0,0,0,0,Safe,46.93333333333334,46.93333333333334,46.93333333333334,0,0,0,0,Safe
2012-03-15T03:00:00Z,45.6,46.1,46.3,46.3,46.3,0,0,0,0,Safe,46.725,46.725,46.725,0,0,0,0,Safe
2012-03-15T04:00:00Z,45.0,45.6,46.04,46.04,46.04,0,0,0,0,Safe,46.5,46.5,46.5,0,0,0,0,Safe
2012-03-15T05:00:00Z,44.6,45.2,45.800000000000004,45.800000000000004,45.800000000000004,0,0,0,0,Safe,46.28333333333333,46.28333333333333,46.28333333333333,0,0,0,0,Safe
2012-03-15T06:00:00Z,44.3,44.8,45.58571428571429,45.58571428571429,45.58571428571429,0,0,0,0,Safe,46.07142857142857,46.07142857142857,46.07142857142857,0,0,0,0,Safe
2012-03-15T07:00:00Z,44.0,44.7,45.3875,45.3875,45.3875,0,0,0,0,Safe,45.9,45.9,45.9,0,0,0,0,Safe
2012-03-15T08:00:00Z,43.9,44.5,45.22222222222222,45.22222222222222,45.22222222222222,0,0,0,0,Safe,45.74444444444444,45.74444444444444,45.74444444444444,0,0,0,0,Safe
2012-03-15T09:00:00Z,44.3,44.9,45.13,45.13,45.13,0,0,0,0,Safe,45.660000000000004,45.660000000000004,45.660000000000004,0,0,0,0,Safe
2012-03-15T10:00:00Z,47.3,47.2,45.32727272727273,45.32727272727273,45.32727272727273,0,0,0,0,Safe,45.800000000000004,45.800000000000004,45.800000000000004,0,0,0,0,Safe
2012-03-15T11:00:00Z,48.2,47.8,45.56666666666666,45.56666666666666,45.56666666666666,0,0,0,0,Safe,45.96666666666667,45.96666666666667,45.96666666666667,0,0,0,0,Safe
2012-03-15T12:00:00Z,49.2,48.8,45.84615384615385,45.84615384615385,45.84615384615385,0,0,0,0,Safe,46.184615384615384,46.184615384615384,46.184615384615384,0,0,0,0,Safe
2012-03-15T13:00:00Z,50.3,49.9,46.16428571428571,46.16428571428571,46.16428571428571,0,0,0,0,Safe,46.449999999999996,46.449999999999996,46.449999999999996,0,0,0,0,Safe
2012-03-15T14:00:00Z,51.8,51.2,46.54,46.54,46.54,0,0,0,0,Safe,46.766666666666666,46.766666666666666,46.766666666666666,0,0,0,0,Safe
2012-03-15T15:00:00Z,52.4,51.9,46.90625,46.90625,46.90625,0,0,0,0,Safe,47.0875,47.0875,47.0875,0,0,0,0,Safe
2012-03-15T16:00:00Z,53.0,52.4,47.26470588235294,47.26470588235294,47.26470588235294,0,0,0,0,Safe,47.4,47.4,47.4,0,0,0,0,Safe
2012-03-15T17:00:00Z,53.3,52.9,47.599999999999994,47.599999999999994,47.599999999999994,0,0,0,0,Safe,47.705555555555556,47.705555555555556,47.705555555555556,0,0,0,0,Safe
2012-03-15T18:00:00Z,53.7,53.2,47.921052631578945,47.921052631578945,47.921052631578945,0,0,0,0,Safe,47.99473684210526,47.99473684210526,47.99473684210526,0,0,0,0,Safe
2012-03-15T19:00:00Z,54.2,53.5,48.235,48.235,48.235,0,0,0,0,Safe,48.269999999999996,48.269999999999996,48.269999999999996,0,0,0,0,Safe
2012-03-15T20:00:00Z,54.2,53.7,48.51904761904762,48.51904761904762,48.51904761904762,0,0,0,0,Safe,48.52857142857143,48.52857142857143,48.52857142857143,0,0,0,0,Safe
2012-03-15T21:00:00Z,53.0,52.6,48.722727272727276,48.722727272727276,48.722727272727276,0,0,0,0,Safe,48.71363636363637,48.71363636363637,48.71363636363637,0,0,0,0,Safe
2012-03-15T22:00:00Z,51.7,51.1,48.85217391304347,48.85217391304347,48.85217391304347,0,0,0,0,Safe,48.81739130434782,48.81739130434782,48.81739130434782,0,0,0,0,Safe
2012-03-15T23:00:00Z,50.8,50.1,48.93333333333334,48.93333333333334,48.93333333333334,0,0,0,0,Safe,48.87083333333334,48.87083333333334,48.87083333333334,0,0,0,0,Safe
