timestamp,living room 1 T up L (GF),living room 1 RH up L (GF),living room 2 T low L (GF),living room 2 RH low L (GF),living room 3 T low R (GF),living room 3 RH low R (GF),bedroom T R (1F),bedroom RH R (1F),staircase low T clay Low,staircase low RH clay Low (60mm),staircase up T clay Up,staircase up RH clay Up (100mm),T clay-flex Low,RH clay-flex Low,T clay-flex Up,RH clay-flex Up
15-03-2012T00:00:00Z,14.09,40.4,11.77,94.5,13.32,44.0,13.32,46.9,13.7,46.6,13.7,49.3,13.32,47.6,13.32,47.2
15-03-2012T01:00:00Z,13.7,40.4,11.77,94.5,13.32,44.0,12.93,46.9,13.7,46.5,13.32,49.3,13.32,47.3,13.32,47.2
15-03-2012T02:00:00Z,13.7,40.3,11.77,94.5,13.32,43.9,12.93,46.9,13.32,46.4,13.32,49.2,13.32,47.2,12.93,47.2
15-03-2012T03:00:00Z,13.32,40.3,11.38,94.5,12.93,44.0,12.93,46.9,13.32,46.2,12.93,49.2,12.93,47.2,12.93,47.0
15-03-2012T04:00:00Z,13.32,40.2,11.77,94.5,12.93,44.0,12.93,46.8,12.93,46.3,12.93,49.0,12.93,46.9,12.55,47.0
15-03-2012T05:00:00Z,12.93,40.2,11.38,94.5,12.55,44.1,12.55,46.9,12.93,46.1,12.55,49.0,12.55,46.9,12.55,46.9
15-03-2012T06:00:00Z,12.93,40.2,11.38,94.5,12.55,43.9,12.16,46.9,12.93,46.0,12.55,49.0,12.55,46.8,12.55,46.8
15-03-2012T07:00:00Z,12.93,40.0,11.38,94.5,12.55,43.9,12.55,46.8,12.55,46.0,12.55,48.9,12.55,46.7,12.16,46.9
15-03-2012T08:00:00Z,12.93,40.0,11.38,94.5,12.55,43.8,12.16,46.9,12.55,46.0,12.55,48.9,12.55,46.7,12.55,46.7
15-03-2012T09:00:00Z,12.93,40.2,11.38,94.5,12.55,43.9,12.55,46.9,12.93,46.0,12.55,49.0,12.55,46.9,12.55,46.8
15-03-2012T10:00:00Z,12.93,40.3,10.99,94.5,12.93,43.8,12.93,46.9,12.93,46.1,12.93,48.9,12.55,47.0,12.55,46.9
15-03-2012T11:00:00Z,13.32,40.3,10.99,94.5,12.93,43.9,12.93,46.9,12.93,46.3,12.93,49.0,12.93,47.2,12.93,46.9
15-03-2012T12:00:00Z,13.32,40.4,10.99,94.5,13.32,43.9,12.93,47.0,12.93,46.5,12.93,49.3,12.93,47.3,12.93,47.0
